804,196,1000
813,187,1000
801,199,1000
911,89,1000
624,376,1000
150,850,1000
120,880,1000
832,168,1000
821,179,1000
832,168,1000
881,119,1000
763,237,1000
804,196,1000
891,109,1000
272,728,1000
130,870,1000
646,354,1000
733,267,1000
181,819,1000
210,790,1000
702,298,1000
111,889,1000
414,586,1000
362,638,1000
282,718,1000
402,598,1000
322,678,1000
191,809,1000
512,488,1000
342,658,1000
290,710,1000
171,829,1000
312,688,1000
240,760,1000
561,439,1000
191,809,1000
380,620,1000
90,910,1000
172,828,1000
131,869,1000
80,920,1000
161,839,1000
703,297,1000
717,283,1000
343,657,1000
551,449,1000
311,689,1000
610,390,1000
866,134,1000
411,589,1000
897,103,1000
731,269,1000
939,61,1000
382,618,1000
423,577,1000
881,119,1000
641,359,1000
777,223,1000
848,152,1000
282,718,1000
